df,p0.995,p0.975,p0.2,p0.1,p0.05,p0.025,p0.02,p0.01,p0.005,p0.002,p0.001
943,834.8993,859.79606,979.34094,999.0634,1015.54832,1029.99194,1034.31668,1046.95544,1058.6117,1072.85156,1082.91512
944,835.8394,860.75048,980.36052,1000.0932,1016.58656,1031.03752,1035.36444,1048.00952,1059.6716,1073.91848,1083.98696
945,836.7795,861.7049,981.3801,1001.123,1017.6248,1032.0831,1036.4122,1049.0636,1060.7315,1074.9854,1085.0588
946,837.7196,862.65932,982.39968,1002.1528,1018.66304,1033.12868,1037.45996,1050.11768,1061.7914,1076.05232,1086.13064
947,838.6597,863.61374,983.41926,1003.1826,1019.70128,1034.17426,1038.50772,1051.17176,1062.8513,1077.11924,1087.20248
948,839.5998,864.56816,984.43884,1004.2124,1020.73952,1035.21984,1039.55548,1052.22584,1063.9112,1078.18616,1088.27432
949,840.5399,865.52258,985.45842,1005.2422,1021.77776,1036.26542,1040.60324,1053.27992,1064.9711,1079.25308,1089.34616
950,841.48,866.477,986.478,1006.272,1022.816,1037.311,1041.651,1054.334,1066.031,1080.32,1090.418
951,842.42168,867.4326,987.49706,1007.30104,1023.85326,1038.3554,1042.69752,1055.3867,1067.08934,1081.38518,1091.48798
952,843.36336,868.3882,988.51612,1008.33008,1024.89052,1039.3998,1043.74404,1056.4394,1068.14768,1082.45036,1092.55796
953,844.30504,869.3438,989.53518,1009.35912,1025.92778,1040.4442,1044.79056,1057.4921,1069.20602,1083.51554,1093.62794
954,845.24672,870.2994,990.55424,1010.38816,1026.96504,1041.4886,1045.83708,1058.5448,1070.26436,1084.58072,1094.69792
955,846.1884,871.255,991.5733,1011.4172,1028.0023,1042.533,1046.8836,1059.5975,1071.3227,1085.6459,1095.7679
956,847.13008,872.2106,992.59236,1012.44624,1029.03956,1043.5774,1047.93012,1060.6502,1072.38104,1086.71108,1096.83788
957,848.07176,873.1662,993.61142,1013.47528,1030.07682,1044.6218,1048.97664,1061.7029,1073.43938,1087.77626,1097.90786
958,849.01344,874.1218,994.63048,1014.50432,1031.11408,1045.6662,1050.02316,1062.7556,1074.49772,1088.84144,1098.97784
959,849.95512,875.0774,995.64954,1015.53336,1032.15134,1046.7106,1051.06968,1063.8083,1075.55606,1089.90662,1100.04782
960,850.8968,876.033,996.6686,1016.5624,1033.1886,1047.755,1052.1162,1064.861,1076.6144,1090.9718,1101.1178
961,851.83848,876.9886,997.68766,1017.59144,1034.22586,1048.7994,1053.16272,1065.9137,1077.67274,1092.03698,1102.18778
962,852.78016,877.9442,998.70672,1018.62048,1035.26312,1049.8438,1054.20924,1066.9664,1078.73108,1093.10216,1103.25776
963,853.72184,878.8998,999.72578,1019.64952,1036.30038,1050.8882,1055.25576,1068.0191,1079.78942,1094.16734,1104.32774
964,854.66352,879.8554,1000.74484,1020.67856,1037.33764,1051.9326,1056.30228,1069.0718,1080.84776,1095.23252,1105.39772
965,855.6052,880.811,1001.7639,1021.7076,1038.3749,1052.977,1057.3488,1070.1245,1081.9061,1096.2977,1106.4677
966,856.54688,881.7666,1002.78296,1022.73664,1039.41216,1054.0214,1058.39532,1071.1772,1082.96444,1097.36288,1107.53768
967,857.48856,882.7222,1003.80202,1023.76568,1040.44942,1055.0658,1059.44184,1072.2299,1084.02278,1098.42806,1108.60766
968,858.43024,883.6778,1004.82108,1024.79472,1041.48668,1056.1102,1060.48836,1073.2826,1085.08112,1099.49324,1109.67764
969,859.37192,884.6334,1005.84014,1025.82376,1042.52394,1057.1546,1061.53488,1074.3353,1086.13946,1100.55842,1110.74762
970,860.3136,885.589,1006.8592,1026.8528,1043.5612,1058.199,1062.5814,1075.388,1087.1978,1101.6236,1111.8176
971,861.25528,886.5446,1007.87826,1027.88184,1044.59846,1059.2434,1063.62792,1076.4407,1088.25614,1102.68878,1112.88758
972,862.19696,887.5002,1008.89732,1028.91088,1045.63572,1060.2878,1064.67444,1077.4934,1089.31448,1103.75396,1113.95756
973,863.13864,888.4558,1009.91638,1029.93992,1046.67298,1061.3322,1065.72096,1078.5461,1090.37282,1104.81914,1115.02754
974,864.08032,889.4114,1010.93544,1030.96896,1047.71024,1062.3766,1066.76748,1079.5988,1091.43116,1105.88432,1116.09752
975,865.022,890.367,1011.9545,1031.998,1048.7475,1063.421,1067.814,1080.6515,1092.4895,1106.9495,1117.1675
976,865.96368,891.3226,1012.97356,1033.02704,1049.78476,1064.4654,1068.86052,1081.7042,1093.54784,1108.01468,1118.23748
977,866.90536,892.2782,1013.99262,1034.05608,1050.82202,1065.5098,1069.90704,1082.7569,1094.60618,1109.07986,1119.30746
978,867.84704,893.2338,1015.01168,1035.08512,1051.85928,1066.5542,1070.95356,1083.8096,1095.66452,1110.14504,1120.37744
979,868.78872,894.1894,1016.03074,1036.11416,1052.89654,1067.5986,1072.00008,1084.8623,1096.72286,1111.21022,1121.44742
980,869.7304,895.145,1017.0498,1037.1432,1053.9338,1068.643,1073.0466,1085.915,1097.7812,1112.2754,1122.5174
981,870.67208,896.1006,1018.06886,1038.17224,1054.97106,1069.6874,1074.09312,1086.9677,1098.83954,1113.34058,1123.58738
982,871.61376,897.0562,1019.08792,1039.20128,1056.00832,1070.7318,1075.13964,1088.0204,1099.89788,1114.40576,1124.65736
983,872.55544,898.0118,1020.10698,1040.23032,1057.04558,1071.7762,1076.18616,1089.0731,1100.95622,1115.47094,1125.72734
984,873.49712,898.9674,1021.12604,1041.25936,1058.08284,1072.8206,1077.23268,1090.1258,1102.01456,1116.53612,1126.79732
985,874.4388,899.923,1022.1451,1042.2884,1059.1201,1073.865,1078.2792,1091.1785,1103.0729,1117.6013,1127.8673
986,875.38048,900.8786,1023.16416,1043.31744,1060.15736,1074.9094,1079.32572,1092.2312,1104.13124,1118.66648,1128.93728
987,876.32216,901.8342,1024.18322,1044.34648,1061.19462,1075.9538,1080.37224,1093.2839,1105.18958,1119.73166,1130.00726
988,877.26384,902.7898,1025.20228,1045.37552,1062.23188,1076.9982,1081.41876,1094.3366,1106.24792,1120.79684,1131.07724
989,878.20552,903.7454,1026.22134,1046.40456,1063.26914,1078.0426,1082.46528,1095.3893,1107.30626,1121.86202,1132.14722
990,879.1472,904.701,1027.2404,1047.4336,1064.3064,1079.087,1083.5118,1096.442,1108.3646,1122.9272,1133.2172
991,880.08888,905.6566,1028.25946,1048.46264,1065.34366,1080.1314,1084.55832,1097.4947,1109.42294,1123.99238,1134.28718
992,881.03056,906.6122,1029.27852,1049.49168,1066.38092,1081.1758,1085.60484,1098.5474,1110.48128,1125.05756,1135.35716
993,881.97224,907.5678,1030.29758,1050.52072,1067.41818,1082.2202,1086.65136,1099.6001,1111.53962,1126.12274,1136.42714
994,882.91392,908.5234,1031.31664,1051.54976,1068.45544,1083.2646,1087.69788,1100.6528,1112.59796,1127.18792,1137.49712
995,883.8556,909.479,1032.3357,1052.5788,1069.4927,1084.309,1088.7444,1101.7055,1113.6563,1128.2531,1138.5671
996,884.79728,910.4346,1033.35476,1053.60784,1070.52996,1085.3534,1089.79092,1102.7582,1114.71464,1129.31828,1139.63708
997,885.73896,911.3902,1034.37382,1054.63688,1071.56722,1086.3978,1090.83744,1103.8109,1115.77298,1130.38346,1140.70706
998,886.68064,912.3458,1035.39288,1055.66592,1072.60448,1087.4422,1091.88396,1104.8636,1116.83132,1131.44864,1141.77704
999,887.62232,913.3014,1036.41194,1056.69496,1073.64174,1088.4866,1092.93048,1105.9163,1117.88966,1132.51382,1142.84702
1000,888.564,914.257,1037.431,1057.724,1074.679,1089.531,1093.977,1106.969,1118.948,1133.579,1143.917
