df,p0.995,p0.975,p0.2,p0.1,p0.05,p0.025,p0.02,p0.01,p0.005,p0.002,p0.001
381,313.6909,328.84316,404.00518,416.75866,427.48972,436.94384,439.78448,448.109,455.81772,465.27634,471.98728
382,314.5968,329.77152,405.03596,417.80552,428.54984,438.01548,440.85956,449.194,456.91184,466.38148,473.10016
383,315.5027,330.69988,406.06674,418.85238,429.60996,439.08712,441.93464,450.279,458.00596,467.48662,474.21304
384,316.4086,331.62824,407.09752,419.89924,430.67008,440.15876,443.00972,451.364,459.10008,468.59176,475.32592
385,317.3145,332.5566,408.1283,420.9461,431.7302,441.2304,444.0848,452.449,460.1942,469.6969,476.4388
386,318.2204,333.48496,409.15908,421.99296,432.79032,442.30204,445.15988,453.534,461.28832,470.80204,477.55168
387,319.1263,334.41332,410.18986,423.03982,433.85044,443.37368,446.23496,454.619,462.38244,471.90718,478.66456
388,320.0322,335.34168,411.22064,424.08668,434.91056,444.44532,447.31004,455.704,463.47656,473.01232,479.77744
389,320.9381,336.27004,412.25142,425.13354,435.97068,445.51696,448.38512,456.789,464.57068,474.11746,480.89032
390,321.844,337.1984,413.2822,426.1804,437.0308,446.5886,449.4602,457.874,465.6648,475.2226,482.0032
391,322.7499,338.12676,414.31298,427.22726,438.09092,447.66024,450.53528,458.959,466.75892,476.32774,483.11608
392,323.6558,339.05512,415.34376,428.27412,439.15104,448.73188,451.61036,460.044,467.85304,477.43288,484.22896
393,324.5617,339.98348,416.37454,429.32098,440.21116,449.80352,452.68544,461.129,468.94716,478.53802,485.34184
394,325.4676,340.91184,417.40532,430.36784,441.27128,450.87516,453.76052,462.214,470.04128,479.64316,486.45472
395,326.3735,341.8402,418.4361,431.4147,442.3314,451.9468,454.8356,463.299,471.1354,480.7483,487.5676
396,327.2794,342.76856,419.46688,432.46156,443.39152,453.01844,455.91068,464.384,472.22952,481.85344,488.68048
397,328.1853,343.69692,420.49766,433.50842,444.45164,454.09008,456.98576,465.469,473.32364,482.95858,489.79336
398,329.0912,344.62528,421.52844,434.55528,445.51176,455.16172,458.06084,466.554,474.41776,484.06372,490.90624
399,329.9971,345.55364,422.55922,435.60214,446.57188,456.23336,459.13592,467.639,475.51188,485.16886,492.01912
400,330.903,346.482,423.59,436.649,447.632,457.305,460.211,468.724,476.606,486.274,493.132
401,331.8146,347.41472,424.6189,437.693,448.68848,458.3723,461.2815,469.80386,477.6944,487.37276,494.238
402,332.7262,348.34744,425.6478,438.737,449.74496,459.4396,462.352,470.88372,478.7828,488.47152,495.344
403,333.6378,349.28016,426.6767,439.781,450.80144,460.5069,463.4225,471.96358,479.8712,489.57028,496.45
404,334.5494,350.21288,427.7056,440.825,451.85792,461.5742,464.493,473.04344,480.9596,490.66904,497.556
405,335.461,351.1456,428.7345,441.869,452.9144,462.6415,465.5635,474.1233,482.048,491.7678,498.662
406,336.3726,352.07832,429.7634,442.913,453.97088,463.7088,466.634,475.20316,483.1364,492.86656,499.768
407,337.2842,353.01104,430.7923,443.957,455.02736,464.7761,467.7045,476.28302,484.2248,493.96532,500.874
408,338.1958,353.94376,431.8212,445.001,456.08384,465.8434,468.775,477.36288,485.3132,495.06408,501.98
409,339.1074,354.87648,432.8501,446.045,457.14032,466.9107,469.8455,478.44274,486.4016,496.16284,503.086
410,340.019,355.8092,433.879,447.089,458.1968,467.978,470.916,479.5226,487.49,497.2616,504.192
411,340.9306,356.74192,434.9079,448.133,459.25328,469.0453,471.9865,480.60246,488.5784,498.36036,505.298
412,341.8422,357.67464,435.9368,449.177,460.30976,470.1126,473.057,481.68232,489.6668,499.45912,506.404
413,342.7538,358.60736,436.9657,450.221,461.36624,471.1799,474.1275,482.76218,490.7552,500.55788,507.51
414,343.6654,359.54008,437.9946,451.265,462.42272,472.2472,475.198,483.84204,491.8436,501.65664,508.616
415,344.577,360.4728,439.0235,452.309,463.4792,473.3145,476.2685,484.9219,492.932,502.7554,509.722
416,345.4886,361.40552,440.0524,453.353,464.53568,474.3818,477.339,486.00176,494.0204,503.85416,510.828
417,346.4002,362.33824,441.0813,454.397,465.59216,475.4491,478.4095,487.08162,495.1088,504.95292,511.934
418,347.3118,363.27096,442.1102,455.441,466.64864,476.5164,479.48,488.16148,496.1972,506.05168,513.04
419,348.2234,364.20368,443.1391,456.485,467.70512,477.5837,480.5505,489.24134,497.2856,507.15044,514.146
420,349.135,365.1364,444.168,457.529,468.7616,478.651,481.621,490.3212,498.374,508.2492,515.252
421,350.0466,366.06912,445.1969,458.573,469.81808,479.7183,482.6915,491.40106,499.4624,509.34796,516.358
422,350.9582,367.00184,446.2258,459.617,470.87456,480.7856,483.762,492.48092,500.5508,510.44672,517.464
423,351.8698,367.93456,447.2547,460.661,471.93104,481.8529,484.8325,493.56078,501.6392,511.54548,518.57
424,352.7814,368.86728,448.2836,461.705,472.98752,482.9202,485.903,494.64064,502.7276,512.64424,519.676
425,353.693,369.8,449.3125,462.749,474.044,483.9875,486.9735,495.7205,503.816,513.743,520.782
426,354.6046,370.73272,450.3414,463.793,475.10048,485.0548,488.044,496.80036,504.9044,514.84176,521.888
427,355.5162,371.66544,451.3703,464.837,476.15696,486.1221,489.1145,497.88022,505.9928,515.94052,522.994
428,356.4278,372.59816,452.3992,465.881,477.21344,487.1894,490.185,498.96008,507.0812,517.03928,524.1
429,357.3394,373.53088,453.4281,466.925,478.26992,488.2567,491.2555,500.03994,508.1696,518.13804,525.206
430,358.251,374.4636,454.457,467.969,479.3264,489.324,492.326,501.1198,509.258,519.2368,526.312
431,359.1626,375.39632,455.4859,469.013,480.38288,490.3913,493.3965,502.19966,510.3464,520.33556,527.418
432,360.0742,376.32904,456.5148,470.057,481.43936,491.4586,494.467,503.27952,511.4348,521.43432,528.524
433,360.9858,377.26176,457.5437,471.101,482.49584,492.5259,495.5375,504.35938,512.5232,522.53308,529.63
434,361.8974,378.19448,458.5726,472.145,483.55232,493.5932,496.608,505.43924,513.6116,523.63184,530.736
435,362.809,379.1272,459.6015,473.189,484.6088,494.6605,497.6785,506.5191,514.7,524.7306,531.842
436,363.7206,380.05992,460.6304,474.233,485.66528,495.7278,498.749,507.59896,515.7884,525.82936,532.948
437,364.6322,380.99264,461.6593,475.277,486.72176,496.7951,499.8195,508.67882,516.8768,526.92812,534.054
438,365.5438,381.92536,462.6882,476.321,487.77824,497.8624,500.89,509.75868,517.9652,528.02688,535.16
439,366.4554,382.85808,463.7171,477.365,488.83472,498.9297,501.9605,510.83854,519.0536,529.12564,536.266
440,367.367,383.7908,464.746,478.409,489.8912,499.997,503.031,511.9184,520.142,530.2244,537.372
441,368.2786,384.72352,465.7749,479.453,490.94768,501.0643,504.1015,512.99826,521.2304,531.32316,538.478
442,369.1902,385.65624,466.8038,480.497,492.00416,502.1316,505.172,514.07812,522.3188,532.42192,539.584
443,370.1018,386.58896,467.8327,481.541,493.06064,503.1989,506.2425,515.15798,523.4072,533.52068,540.69
444,371.0134,387.52168,468.8616,482.585,494.11712,504.2662,507.313,516.23784,524.4956,534.61944,541.796
445,371.925,388.4544,469.8905,483.629,495.1736,505.3335,508.3835,517.3177,525.584,535.7182,542.902
446,372.8366,389.38712,470.9194,484.673,496.23008,506.4008,509.454,518.39756,526.6724,536.81696,544.008
447,373.7482,390.31984,471.9483,485.717,497.28656,507.4681,510.5245,519.47742,527.7608,537.91572,545.114
448,374.6598,391.25256,472.9772,486.761,498.34304,508.5354,511.595,520.55728,528.8492,539.01448,546.22
449,375.5714,392.18528,474.0061,487.805,499.39952,509.6027,512.6655,521.63714,529.9376,540.11324,547.326
450,376.483,393.118,475.035,488.849,500.456,510.67,513.736,522.717,531.026,541.212,548.432
451,377.3994,394.05436,476.06232,489.89062,501.50942,511.73364,514.80268,523.79252,532.10962,542.3054,549.53228
452,378.3158,394.99072,477.08964,490.93224,502.56284,512.79728,515.86936,524.86804,533.19324,543.3988,550.63256
453,379.2322,395.92708,478.11696,491.97386,503.61626,513.86092,516.93604,525.94356,534.27686,544.4922,551.73284
454,380.1486,396.86344,479.14428,493.01548,504.66968,514.92456,518.00272,527.01908,535.36048,545.5856,552.83312
455,381.065,397.7998,480.1716,494.0571,505.7231,515.9882,519.0694,528.0946,536.4441,546.679,553.9334
456,381.9814,398.73616,481.19892,495.09872,506.77652,517.05184,520.13608,529.17012,537.52772,547.7724,555.03368
457,382.8978,399.67252,482.22624,496.14034,507.82994,518.11548,521.20276,530.24564,538.61134,548.8658,556.13396
458,383.8142,400.60888,483.25356,497.18196,508.88336,519.17912,522.26944,531.32116,539.69496,549.9592,557.23424
459,384.7306,401.54524,484.28088,498.22358,509.93678,520.24276,523.33612,532.39668,540.77858,551.0526,558.33452
460,385.647,402.4816,485.3082,499.2652,510.9902,521.3064,524.4028,533.4722,541.8622,552.146,559.4348
461,386.5634,403.41796,486.33552,500.30682,512.04362,522.37004,525.46948,534.54772,542.94582,553.2394,560.53508
462,387.4798,404.35432,487.36284,501.34844,513.09704,523.43368,526.53616,535.62324,544.02944,554.3328,561.63536
463,388.3962,405.29068,488.39016,502.39006,514.15046,524.49732,527.60284,536.69876,545.11306,555.4262,562.73564
464,389.3126,406.22704,489.41748,503.43168,515.20388,525.56096,528.66952,537.77428,546.19668,556.5196,563.83592
465,390.229,407.1634,490.4448,504.4733,516.2573,526.6246,529.7362,538.8498,547.2803,557.613,564.9362
466,391.1454,408.09976,491.47212,505.51492,517.31072,527.68824,530.80288,539.92532,548.36392,558.7064,566.03648
467,392.0618,409.03612,492.49944,506.55654,518.36414,528.75188,531.86956,541.00084,549.44754,559.7998,567.13676
468,392.9782,409.97248,493.52676,507.59816,519.41756,529.81552,532.93624,542.07636,550.53116,560.8932,568.23704
469,393.8946,410.90884,494.55408,508.63978,520.47098,530.87916,534.00292,543.15188,551.61478,561.9866,569.33732
470,394.811,411.8452,495.5814,509.6814,521.5244,531.9428,535.0696,544.2274,552.6984,563.08,570.4376
471,395.7274,412.78156,496.60872,510.72302,522.57782,533.00644,536.13628,545.30292,553.78202,564.1734,571.53788
472,396.6438,413.71792,497.63604,511.76464,523.63124,534.07008,537.20296,546.37844,554.86564,565.2668,572.63816
473,397.5602,414.65428,498.66336,512.80626,524.68466,535.13372,538.26964,547.45396,555.94926,566.3602,573.73844
474,398.4766,415.59064,499.69068,513.84788,525.73808,536.19736,539.33632,548.52948,557.03288,567.4536,574.83872
475,399.393,416.527,500.718,514.8895,526.7915,537.261,540.403,549.605,558.1165,568.547,575.939
476,400.3094,417.46336,501.74532,515.93112,527.84492,538.32464,541.46968,550.68052,559.20012,569.6404,577.03928
477,401.2258,418.39972,502.77264,516.97274,528.89834,539.38828,542.53636,551.75604,560.28374,570.7338,578.13956
478,402.1422,419.33608,503.79996,518.01436,529.95176,540.45192,543.60304,552.83156,561.36736,571.8272,579.23984
479,403.0586,420.27244,504.82728,519.05598,531.00518,541.51556,544.66972,553.90708,562.45098,572.9206,580.34012
480,403.975,421.2088,505.8546,520.0976,532.0586,542.5792,545.7364,554.9826,563.5346,574.014,581.4404
481,404.8914,422.14516,506.88192,521.13922,533.11202,543.64284,546.80308,556.05812,564.61822,575.1074,582.54068
482,405.8078,423.08152,507.90924,522.18084,534.16544,544.70648,547.86976,557.13364,565.70184,576.2008,583.64096
483,406.7242,424.01788,508.93656,523.22246,535.21886,545.77012,548.93644,558.20916,566.78546,577.2942,584.74124
484,407.6406,424.95424,509.96388,524.26408,536.27228,546.83376,550.00312,559.28468,567.86908,578.3876,585.84152
485,408.557,425.8906,510.9912,525.3057,537.3257,547.8974,551.0698,560.3602,568.9527,579.481,586.9418
486,409.4734,426.82696,512.01852,526.34732,538.37912,548.96104,552.13648,561.43572,570.03632,580.5744,588.04208
487,410.3898,427.76332,513.04584,527.38894,539.43254,550.02468,553.20316,562.51124,571.11994,581.6678,589.14236
488,411.3062,428.69968,514.07316,528.43056,540.48596,551.08832,554.26984,563.58676,572.20356,582.7612,590.24264
489,412.2226,429.63604,515.10048,529.47218,541.53938,552.15196,555.33652,564.66228,573.28718,583.8546,591.34292
490,413.139,430.5724,516.1278,530.5138,542.5928,553.2156,556.4032,565.7378,574.3708,584.948,592.4432
491,414.0554,431.50876,517.15512,531.55542,543.64622,554.27924,557.46988,566.81332,575.45442,586.0414,593.54348
492,414.9718,432.44512,518.18244,532.59704,544.69964,555.34288,558.53656,567.88884,576.53804,587.1348,594.64376
493,415.8882,433.38148,519.20976,533.63866,545.75306,556.40652,559.60324,568.96436,577.62166,588.2282,595.74404
494,416.8046,434.31784,520.23708,534.68028,546.80648,557.47016,560.66992,570.03988,578.70528,589.3216,596.84432
495,417.721,435.2542,521.2644,535.7219,547.8599,558.5338,561.7366,571.1154,579.7889,590.415,597.9446
496,418.6374,436.19056,522.29172,536.76352,548.91332,559.59744,562.80328,572.19092,580.87252,591.5084,599.04488
497,419.5538,437.12692,523.31904,537.80514,549.96674,560.66108,563.86996,573.26644,581.95614,592.6018,600.14516
498,420.4702,438.06328,524.34636,538.84676,551.02016,561.72472,564.93664,574.34196,583.03976,593.6952,601.24544
499,421.3866,438.99964,525.37368,539.88838,552.07358,562.78836,566.00332,575.41748,584.12338,594.7886,602.34572
500,422.303,439.936,526.401,540.93,553.127,563.852,567.07,576.493,585.207,595.882,603.446
501,423.2235,440.87548,527.427,541.96958,554.1778,564.91252,568.13342,577.56482,586.28652,596.97084,604.54138
502,424.144,441.81496,528.453,543.00916,555.2286,565.97304,569.19684,578.63664,587.36604,598.05968,605.63676
503,425.0645,442.75444,529.479,544.04874,556.2794,567.03356,570.26026,579.70846,588.44556,599.14852,606.73214
504,425.985,443.69392,530.505,545.08832,557.3302,568.09408,571.32368,580.78028,589.52508,600.23736,607.82752
505,426.9055,444.6334,531.531,546.1279,558.381,569.1546,572.3871,581.8521,590.6046,601.3262,608.9229
506,427.826,445.57288,532.557,547.16748,559.4318,570.21512,573.45052,582.92392,591.68412,602.41504,610.01828
507,428.7465,446.51236,533.583,548.20706,560.4826,571.27564,574.51394,583.99574,592.76364,603.50388,611.11366
508,429.667,447.45184,534.609,549.24664,561.5334,572.33616,575.57736,585.06756,593.84316,604.59272,612.20904
509,430.5875,448.39132,535.635,550.28622,562.5842,573.39668,576.64078,586.13938,594.92268,605.68156,613.30442
510,431.508,449.3308,536.661,551.3258,563.635,574.4572,577.7042,587.2112,596.0022,606.7704,614.3998
511,432.4285,450.27028,537.687,552.36538,564.6858,575.51772,578.76762,588.28302,597.08172,607.85924,615.49518
512,433.349,451.20976,538.713,553.40496,565.7366,576.57824,579.83104,589.35484,598.16124,608.94808,616.59056
513,434.2695,452.14924,539.739,554.44454,566.7874,577.63876,580.89446,590.42666,599.24076,610.03692,617.68594
514,435.19,453.08872,540.765,555.48412,567.8382,578.69928,581.95788,591.49848,600.32028,611.12576,618.78132
515,436.1105,454.0282,541.791,556.5237,568.889,579.7598,583.0213,592.5703,601.3998,612.2146,619.8767
516,437.031,454.96768,542.817,557.56328,569.9398,580.82032,584.08472,593.64212,602.47932,613.30344,620.97208
517,437.9515,455.90716,543.843,558.60286,570.9906,581.88084,585.14814,594.71394,603.55884,614.39228,622.06746
518,438.872,456.84664,544.869,559.64244,572.0414,582.94136,586.21156,595.78576,604.63836,615.48112,623.16284
519,439.7925,457.78612,545.895,560.68202,573.0922,584.00188,587.27498,596.85758,605.71788,616.56996,624.25822
520,440.713,458.7256,546.921,561.7216,574.143,585.0624,588.3384,597.9294,606.7974,617.6588,625.3536
521,441.6335,459.66508,547.947,562.76118,575.1938,586.12292,589.40182,599.00122,607.87692,618.74764,626.44898
522,442.554,460.60456,548.973,563.80076,576.2446,587.18344,590.46524,600.07304,608.95644,619.83648,627.54436
523,443.4745,461.54404,549.999,564.84034,577.2954,588.24396,591.52866,601.14486,610.03596,620.92532,628.63974
524,444.395,462.48352,551.025,565.87992,578.3462,589.30448,592.59208,602.21668,611.11548,622.01416,629.73512
525,445.3155,463.423,552.051,566.9195,579.397,590.365,593.6555,603.2885,612.195,623.103,630.8305
526,446.236,464.36248,553.077,567.95908,580.4478,591.42552,594.71892,604.36032,613.27452,624.19184,631.92588
527,447.1565,465.30196,554.103,568.99866,581.4986,592.48604,595.78234,605.43214,614.35404,625.28068,633.02126
528,448.077,466.24144,555.129,570.03824,582.5494,593.54656,596.84576,606.50396,615.43356,626.36952,634.11664
529,448.9975,467.18092,556.155,571.07782,583.6002,594.60708,597.90918,607.57578,616.51308,627.45836,635.21202
530,449.918,468.1204,557.181,572.1174,584.651,595.6676,598.9726,608.6476,617.5926,628.5472,636.3074
531,450.8385,469.05988,558.207,573.15698,585.7018,596.72812,600.03602,609.71942,618.67212,629.63604,637.40278
532,451.759,469.99936,559.233,574.19656,586.7526,597.78864,601.09944,610.79124,619.75164,630.72488,638.49816
533,452.6795,470.93884,560.259,575.23614,587.8034,598.84916,602.16286,611.86306,620.83116,631.81372,639.59354
534,453.6,471.87832,561.285,576.27572,588.8542,599.90968,603.22628,612.93488,621.91068,632.90256,640.68892
535,454.5205,472.8178,562.311,577.3153,589.905,600.9702,604.2897,614.0067,622.9902,633.9914,641.7843
536,455.441,473.75728,563.337,578.35488,590.9558,602.03072,605.35312,615.07852,624.06972,635.08024,642.87968
537,456.3615,474.69676,564.363,579.39446,592.0066,603.09124,606.41654,616.15034,625.14924,636.16908,643.97506
538,457.282,475.63624,565.389,580.43404,593.0574,604.15176,607.47996,617.22216,626.22876,637.25792,645.07044
539,458.2025,476.57572,566.415,581.47362,594.1082,605.21228,608.54338,618.29398,627.30828,638.34676,646.16582
540,459.123,477.5152,567.441,582.5132,595.159,606.2728,609.6068,619.3658,628.3878,639.4356,647.2612
541,460.0435,478.45468,568.467,583.55278,596.2098,607.33332,610.67022,620.43762,629.46732,640.52444,648.35658
542,460.964,479.39416,569.493,584.59236,597.2606,608.39384,611.73364,621.50944,630.54684,641.61328,649.45196
543,461.8845,480.33364,570.519,585.63194,598.3114,609.45436,612.79706,622.58126,631.62636,642.70212,650.54734
544,462.805,481.27312,571.545,586.67152,599.3622,610.51488,613.86048,623.65308,632.70588,643.79096,651.64272
545,463.7255,482.2126,572.571,587.7111,600.413,611.5754,614.9239,624.7249,633.7854,644.8798,652.7381
546,464.646,483.15208,573.597,588.75068,601.4638,612.63592,615.98732,625.79672,634.86492,645.96864,653.83348
547,465.5665,484.09156,574.623,589.79026,602.5146,613.69644,617.05074,626.86854,635.94444,647.05748,654.92886
548,466.487,485.03104,575.649,590.82984,603.5654,614.75696,618.11416,627.94036,637.02396,648.14632,656.02424
549,467.4075,485.97052,576.675,591.86942,604.6162,615.81748,619.17758,629.01218,638.10348,649.23516,657.11962
550,468.328,486.91,577.701,592.909,605.667,616.878,620.241,630.084,639.183,650.324,658.215
551,469.25202,487.85218,578.72584,593.94682,606.71554,617.93582,621.30158,631.15264,640.25898,651.40888,659.30612
552,470.17604,488.79436,579.75068,594.98464,607.76408,618.99364,622.36216,632.22128,641.33496,652.49376,660.39724
553,471.10006,489.73654,580.77552,596.02246,608.81262,620.05146,623.42274,633.28992,642.41094,653.57864,661.48836
554,472.02408,490.67872,581.80036,597.06028,609.86116,621.10928,624.48332,634.35856,643.48692,654.66352,662.57948
555,472.9481,491.6209,582.8252,598.0981,610.9097,622.1671,625.5439,635.4272,644.5629,655.7484,663.6706
556,473.87212,492.56308,583.85004,599.13592,611.95824,623.22492,626.60448,636.49584,645.63888,656.83328,664.76172
557,474.79614,493.50526,584.87488,600.17374,613.00678,624.28274,627.66506,637.56448,646.71486,657.91816,665.85284
558,475.72016,494.44744,585.89972,601.21156,614.05532,625.34056,628.72564,638.63312,647.79084,659.00304,666.94396
559,476.64418,495.38962,586.92456,602.24938,615.10386,626.39838,629.78622,639.70176,648.86682,660.08792,668.03508
560,477.5682,496.3318,587.9494,603.2872,616.1524,627.4562,630.8468,640.7704,649.9428,661.1728,669.1262
561,478.49222,497.27398,588.97424,604.32502,617.20094,628.51402,631.90738,641.83904,651.01878,662.25768,670.21732
562,479.41624,498.21616,589.99908,605.36284,618.24948,629.57184,632.96796,642.90768,652.09476,663.34256,671.30844
563,480.34026,499.15834,591.02392,606.40066,619.29802,630.62966,634.02854,643.97632,653.17074,664.42744,672.39956
564,481.26428,500.10052,592.04876,607.43848,620.34656,631.68748,635.08912,645.04496,654.24672,665.51232,673.49068
565,482.1883,501.0427,593.0736,608.4763,621.3951,632.7453,636.1497,646.1136,655.3227,666.5972,674.5818
566,483.11232,501.98488,594.09844,609.51412,622.44364,633.80312,637.21028,647.18224,656.39868,667.68208,675.67292
567,484.03634,502.92706,595.12328,610.55194,623.49218,634.86094,638.27086,648.25088,657.47466,668.76696,676.76404
568,484.96036,503.86924,596.14812,611.58976,624.54072,635.91876,639.33144,649.31952,658.55064,669.85184,677.85516
569,485.88438,504.81142,597.17296,612.62758,625.58926,636.97658,640.39202,650.38816,659.62662,670.93672,678.94628
570,486.8084,505.7536,598.1978,613.6654,626.6378,638.0344,641.4526,651.4568,660.7026,672.0216,680.0374
571,487.73242,506.69578,599.22264,614.70322,627.68634,639.09222,642.51318,652.52544,661.77858,673.10648,681.12852
572,488.65644,507.63796,600.24748,615.74104,628.73488,640.15004,643.57376,653.59408,662.85456,674.19136,682.21964
573,489.58046,508.58014,601.27232,616.77886,629.78342,641.20786,644.63434,654.66272,663.93054,675.27624,683.31076
574,490.50448,509.52232,602.29716,617.81668,630.83196,642.26568,645.69492,655.73136,665.00652,676.36112,684.40188
575,491.4285,510.4645,603.322,618.8545,631.8805,643.3235,646.7555,656.8,666.0825,677.446,685.493
576,492.35252,511.40668,604.34684,619.89232,632.92904,644.38132,647.81608,657.86864,667.15848,678.53088,686.58412
577,493.27654,512.34886,605.37168,620.93014,633.97758,645.43914,648.87666,658.93728,668.23446,679.61576,687.67524
578,494.20056,513.29104,606.39652,621.96796,635.02612,646.49696,649.93724,660.00592,669.31044,680.70064,688.76636
579,495.12458,514.23322,607.42136,623.00578,636.07466,647.55478,650.99782,661.07456,670.38642,681.78552,689.85748
580,496.0486,515.1754,608.4462,624.0436,637.1232,648.6126,652.0584,662.1432,671.4624,682.8704,690.9486
581,496.97262,516.11758,609.47104,625.08142,638.17174,649.67042,653.11898,663.21184,672.53838,683.95528,692.03972
582,497.89664,517.05976,610.49588,626.11924,639.22028,650.72824,654.17956,664.28048,673.61436,685.04016,693.13084
583,498.82066,518.00194,611.52072,627.15706,640.26882,651.78606,655.24014,665.34912,674.69034,686.12504,694.22196
584,499.74468,518.94412,612.54556,628.19488,641.31736,652.84388,656.30072,666.41776,675.76632,687.20992,695.31308
585,500.6687,519.8863,613.5704,629.2327,642.3659,653.9017,657.3613,667.4864,676.8423,688.2948,696.4042
586,501.59272,520.82848,614.59524,630.27052,643.41444,654.95952,658.42188,668.55504,677.91828,689.37968,697.49532
587,502.51674,521.77066,615.62008,631.30834,644.46298,656.01734,659.48246,669.62368,678.99426,690.46456,698.58644
588,503.44076,522.71284,616.64492,632.34616,645.51152,657.07516,660.54304,670.69232,680.07024,691.54944,699.67756
589,504.36478,523.65502,617.66976,633.38398,646.56006,658.13298,661.60362,671.76096,681.14622,692.63432,700.76868
590,505.2888,524.5972,618.6946,634.4218,647.6086,659.1908,662.6642,672.8296,682.2222,693.7192,701.8598
591,506.21282,525.53938,619.71944,635.45962,648.65714,660.24862,663.72478,673.89824,683.29818,694.80408,702.95092
592,507.13684,526.48156,620.74428,636.49744,649.70568,661.30644,664.78536,674.96688,684.37416,695.88896,704.04204
593,508.06086,527.42374,621.76912,637.53526,650.75422,662.36426,665.84594,676.03552,685.45014,696.97384,705.13316
594,508.98488,528.36592,622.79396,638.57308,651.80276,663.42208,666.90652,677.10416,686.52612,698.05872,706.22428
595,509.9089,529.3081,623.8188,639.6109,652.8513,664.4799,667.9671,678.1728,687.6021,699.1436,707.3154
596,510.83292,530.25028,624.84364,640.64872,653.89984,665.53772,669.02768,679.24144,688.67808,700.22848,708.40652
597,511.75694,531.19246,625.86848,641.68654,654.94838,666.59554,670.08826,680.31008,689.75406,701.31336,709.49764
598,512.68096,532.13464,626.89332,642.72436,655.99692,667.65336,671.14884,681.37872,690.83004,702.39824,710.58876
599,513.60498,533.07682,627.91816,643.76218,657.04546,668.71118,672.20942,682.44736,691.90602,703.48312,711.67988
600,514.529,534.019,628.943,644.8,658.094,669.769,673.27,683.516,692.982,704.568,712.771
601,515.45612,534.96352,629.96682,645.83628,659.14054,670.82446,674.32812,684.58182,694.05486,705.64942,713.8584
602,516.38324,535.90804,630.99064,646.87256,660.18708,671.87992,675.38624,685.64764,695.12772,706.73084,714.9458
603,517.31036,536.85256,632.01446,647.90884,661.23362,672.93538,676.44436,686.71346,696.20058,707.81226,716.0332
604,518.23748,537.79708,633.03828,648.94512,662.28016,673.99084,677.50248,687.77928,697.27344,708.89368,717.1206
605,519.1646,538.7416,634.0621,649.9814,663.3267,675.0463,678.5606,688.8451,698.3463,709.9751,718.208
606,520.09172,539.68612,635.08592,651.01768,664.37324,676.10176,679.61872,689.91092,699.41916,711.05652,719.2954
607,521.01884,540.63064,636.10974,652.05396,665.41978,677.15722,680.67684,690.97674,700.49202,712.13794,720.3828
608,521.94596,541.57516,637.13356,653.09024,666.46632,678.21268,681.73496,692.04256,701.56488,713.21936,721.4702
609,522.87308,542.51968,638.15738,654.12652,667.51286,679.26814,682.79308,693.10838,702.63774,714.30078,722.5576
610,523.8002,543.4642,639.1812,655.1628,668.5594,680.3236,683.8512,694.1742,703.7106,715.3822,723.645
611,524.72732,544.40872,640.20502,656.19908,669.60594,681.37906,684.90932,695.24002,704.78346,716.46362,724.7324
612,525.65444,545.35324,641.22884,657.23536,670.65248,682.43452,685.96744,696.30584,705.85632,717.54504,725.8198
613,526.58156,546.29776,642.25266,658.27164,671.69902,683.48998,687.02556,697.37166,706.92918,718.62646,726.9072
614,527.50868,547.24228,643.27648,659.30792,672.74556,684.54544,688.08368,698.43748,708.00204,719.70788,727.9946
615,528.4358,548.1868,644.3003,660.3442,673.7921,685.6009,689.1418,699.5033,709.0749,720.7893,729.082
616,529.36292,549.13132,645.32412,661.38048,674.83864,686.65636,690.19992,700.56912,710.14776,721.87072,730.1694
617,530.29004,550.07584,646.34794,662.41676,675.88518,687.71182,691.25804,701.63494,711.22062,722.95214,731.2568
618,531.21716,551.02036,647.37176,663.45304,676.93172,688.76728,692.31616,702.70076,712.29348,724.03356,732.3442
619,532.14428,551.96488,648.39558,664.48932,677.97826,689.82274,693.37428,703.76658,713.36634,725.11498,733.4316
620,533.0714,552.9094,649.4194,665.5256,679.0248,690.8782,694.4324,704.8324,714.4392,726.1964,734.519
621,533.99852,553.85392,650.44322,666.56188,680.07134,691.93366,695.49052,705.89822,715.51206,727.27782,735.6064
622,534.92564,554.79844,651.46704,667.59816,681.11788,692.98912,696.54864,706.96404,716.58492,728.35924,736.6938
623,535.85276,555.74296,652.49086,668.63444,682.16442,694.04458,697.60676,708.02986,717.65778,729.44066,737.7812
624,536.77988,556.68748,653.51468,669.67072,683.21096,695.10004,698.66488,709.09568,718.73064,730.52208,738.8686
625,537.707,557.632,654.5385,670.707,684.2575,696.1555,699.723,710.1615,719.8035,731.6035,739.956
626,538.63412,558.57652,655.56232,671.74328,685.30404,697.21096,700.78112,711.22732,720.87636,732.68492,741.0434
627,539.56124,559.52104,656.58614,672.77956,686.35058,698.26642,701.83924,712.29314,721.94922,733.76634,742.1308
628,540.48836,560.46556,657.60996,673.81584,687.39712,699.32188,702.89736,713.35896,723.02208,734.84776,743.2182
629,541.41548,561.41008,658.63378,674.85212,688.44366,700.37734,703.95548,714.42478,724.09494,735.92918,744.3056
630,542.3426,562.3546,659.6576,675.8884,689.4902,701.4328,705.0136,715.4906,725.1678,737.0106,745.393
